station_id,timestamp,Date,duration,week,week_day,window
S312425,12-Jun-2017 09:36:00',6/12/2017,250,24,2,116
S314899,    '16-Nov-2017 13:05:00',11/16/2017,236,46,5,158
S314982,    '12-Jan-2017 05:06:00',1/12/2017,223,2,5,62
S312527,    '08-Feb-2017 09:45:00',2/8/2017,223,6,4,118
S312771,    '28-Oct-2017 13:33:00',10/28/2017,213,43,7,163
S313172,    '12-Nov-2017 01:01:00',11/12/2017,195,46,1,13
S315017,    '17-Feb-2017 09:16:00',2/17/2017,178,7,6,112
S312527,    '26-Sep-2017 08:08:00',9/26/2017,141,39,3,98
S314147,    '14-Oct-2017 21:41:00',10/14/2017,136,41,7,261
S312694,    '12-Jun-2017 08:08:00',6/12/2017,135,24,2,98
S315017,    '07-Apr-2017 12:28:00',4/7/2017,119,14,6,150
S318859,    '25-Oct-2017 18:34:00',10/25/2017,115,43,4,223
S318721,    '05-Sep-2017 13:10:00',9/5/2017,114,36,3,147
S314147,    '16-Sep-2017 10:43:00',9/16/2017,113,37,7,129
S312527,    '29-Jul-2017 23:31:00',7/29/2017,112,30,7,283
S312771,    '23-Sep-2017 02:58:00',9/23/2017,102,38,7,36
S314147,    '07-Dec-2017 06:19:00',12/7/2017,97,49,5,76
